번호,질문,선택지 1,선택지 2
55,이성 친구가 얼마나 있나요?,많은 편이에요,거의 없어요
56,장거리와 단거리 중 어느 게 나을까요?,멀어도 시간 여유 있는 게 나아요,가까워도 바쁜 게 나아요
57,싸움은 얼마나 자주 하는 게 괜찮을까요?,자주 소소하게,가끔 크게
58,연락할 때 답장은 어떻게 하나요?,항상 실시간으로 바로,여유 있을 때 천천히
59,친구 약속과 연인 약속 중 뭐가 우선인가요?,친구 약속,우리 약속
60,명절은 어떻게 보내고 싶나요?,각자 집에서,같이 함께
61,선물할 때 어떤 걸 선호하나요?,실용적인 선물,감성적이고 의미있는 선물
62,이벤트 준비는 누가 주로 하나요?,내가 주로 준비해요,애인이 주로 준비해요
63,취미 생활은 어떻게 하고 싶나요?,서로 맞춰서 함께,각자 다른 걸 즐기기
64,커리어와 관계 중 뭐가 더 중요한가요?,커리어와 목표,관계와 사랑
65,서운한 마음을 어떻게 표현하나요?,카톡으로 장문으로,직접 만나서 이야기
66,거짓말에 대해 어떻게 생각하나요?,선의의 거짓말은 괜찮아요,어떤 거짓말도 절대 안 돼요
67,돈을 쓸 때 어떤 스타일인가요?,아끼고 저축하는 편,필요하면 쓰는 편
68,연인의 성향은 어떤 게 좋을까요?,내향적인 사람,외향적인 사람
69,연인이 힘들 때 어떻게 응원하나요?,현실적인 조언 제공,감정 공감하고 위로
70,대화 주제는 주로 뭐가 좋을까요?,일이나 공부 이야기,연애나 우리 이야기
71,전 애인과는 어떻게 지내나요?,완전히 연락 차단,가끔 안부 정도는 괜찮아요
72,이별할 때 어떤 방식이 나을까요?,이유를 자세히 설명,조용히 멀어지기
73,약속에 대한 생각은 어떤가요?,약속은 철저히 지켜요,상황에 따라 유연하게
74,연인의 식성은 어떤 게 좋을까요?,나랑 비슷한 식성,나랑 정반대 식성
75,술에 대해 어떻게 생각하나요?,같이 한 잔 하는 게 좋아요,술 대신 디저트가 좋아요
76,여행 콘셉트는 어떤 게 좋을까요?,맛집 탐방 먹방 여행,힐링과 휴식 여행
77,여행 숙소는 어떤 곳이 좋을까요?,깔끔한 호텔,감성 넘치는 특별한 숙소
78,사진 찍을 때 어떤 스타일을 선호하나요?,인생샷만 건지기,웃긴 사진도 많이
79,데이트 추억은 어떻게 간직하나요?,사진첩 정리,다이어리에 글 기록
80,취침 시간은 언제가 좋을까요?,일찍 자는 게 좋아요,밤늦게까지 얘기하는 게 좋아요
81,아침 인사는 어떻게 하고 싶나요?,굿모닝 문자 보내기,굿모닝 전화하기
82,자기 전 인사는 어떻게 하고 싶나요?,굿나잇 통화하기,굿나잇 메시지 보내기
83,연인을 어떻게 부르고 싶나요?,애칭이나 별명으로,이름 그대로
84,스킨십 속도는 어떤 게 편한가요?,빠르게 진행해도 괜찮아요,천천히 조심스럽게
85,연애 초반 가장 중요한 순간은 언제인가요?,첫 데이트,첫 여행
86,첫 키스와 첫 고백 중 뭐가 더 중요한가요?,첫 키스,"첫 ""사랑해"""
87,미래의 모습은 어떤 게 좋을까요?,아이와 함께 가정,둘이서만 여행 다니며
88,살고 싶은 집은 어떤 타입인가요?,도심의 작은 집,시골의 큰 집
89,삶의 방향은 어떤 게 좋을까요?,안정되고 예측 가능한 일상,변화 많고 재미있는 일상
90,성공에 대한 생각은 어떤가요?,둘 다 바쁘게 일하며 성공,적당히 벌고 함께 시간 보내기
91,관계에서 양보는 어떻게 해야 할까요?,내가 더 많이 양보,서로 반반씩 양보
92,휴가 패턴은 어떤 게 좋을까요?,긴 휴가 한 번,짧은 휴가 여러 번
93,선호하는 스킨십 방식은 뭔가요?,손잡기나 포옹,뽀뽀나 볼 꼬집기
94,추억은 어떻게 만들고 싶나요?,자주 소소한 추억,가끔 거대하고 특별한 추억
95,중요한 날은 어느 게 더 의미있나요?,생일,기념일
96,미래 가치관은 어떤 게 좋을까요?,아이와 함께 살기,둘이만 살며 자유롭게 여행
97,인생에서 가장 중요한 건 뭔가요?,일과 성공,관계와 사랑
98,영원한 연애는 어떤 모습이어야 할까요?,지금처럼 쭉 변하지 않기,많이 변해도 괜찮아요
99,사랑에 대한 마지막 선택은 뭔가요?,안정되고 편안한 사랑,불안하지만 짜릿한 사랑
100,평생 사랑은 어떤 게 이상적인가요?,한 사람과 평생,여러 사랑을 경험하며
