번호,질문 내용
98,내 인생 최고의 여행지는 어디였나요?
99,가장 좋아하는 꽃이나 식물이 있나요?
100,노래방에 가면 꼭 부르는 애창곡은?
101,휴일에 집에서 쉰다면 주로 어떤 옷차림인가요?
102,가장 못 먹거나 싫어하는 음식 재료는?
103,유튜브나 넷플릭스 알고리즘에 가장 많이 뜨는 콘텐츠는?
104,"옷을 살 때 가장 중요하게 보는 디테일은? (핏, 재질, 가격 등)"
105,가장 좋아하는 빵 종류는 무엇인가요?
106,내가 가진 물건 중 가장 오래된 애장품은?
107,"선호하는 향수 취향이나 향기(비누향, 우디향 등)는?"
108,가장 좋아하는 색깔 조합(배색)은 무엇인가요?
109,매운 음식을 잘 먹는 편인가요? (어느 정도까지?)
110,가장 좋아하는 과일은?
111,잠들기 가장 편한 자세는 무엇인가요?
112,샤워할 때 보통 순서가 어떻게 되나요?
113,가장 좋아하는 스포츠나 운동 경기는?
114,놀이공원에서 가장 좋아하는 기구는?
115,비행기 탈 때 창가와 복도 중 어디를 선호하나요? (이유 포함)
116,내가 매력적이라고 느끼는 이성의 의외의 포인트는?
117,연인에게 서운함을 느끼는 구체적인 말투가 있다면?
118,"우리가 다퉜을 때, 화해의 제스처로 무엇을 해주면 좋을까요?"
119,나를 사랑한다고 가장 강렬하게 느꼈던 순간은?
120,다른 건 몰라도 연인 사이에 절대 용납할 수 없는 행동 하나는?
121,나에게 꼭 듣고 싶은 칭찬이나 인정의 말은?
122,공개 연애에 대해서는 어떻게 생각하나요?
123,"우리의 첫 데이트 날, 가장 기억에 남는 장면은?"
124,나를 동물에 비유한다면 어떤 동물이 생각나나요?
125,우리가 함께 했던 식사 중 분위기가 가장 좋았던 곳은?
126,나에게 선물해 주고 싶은 것이 있다면?
127,우리의 관계 발전을 위해 함께 노력했으면 하는 점은?
128,나에게 보여주고 싶지 않은 나의 모습이 있나요?
129,연애할 때 '이것만큼은 내가 최고'라고 자부하는 점은?
130,내가 입었을 때 가장 예뻤던(멋졌던) 옷은?
131,내가 생각하는 '진정한 휴식'이란 무엇인가요?
132,인생의 좌우명이나 좋아하는 명언이 있나요?
133,타인을 존경하게 되는 기준은 무엇인가요?
134,약속 시간에 대해 얼마나 엄격한 편인가요?
135,"거절을 잘 하는 편인가요, 못 하는 편인가요?"
136,나의 성격 중 고치고 싶은 부분이 있다면?
137,내가 생각하는 '성공한 삶'의 이미지를 묘사해보자면?
138,돈을 쓸 때 가장 아깝지 않은 분야는?
139,반대로 돈 쓰기 가장 아까워하는 분야는?
140,혼자 있는 시간과 함께 있는 시간의 이상적인 비율은?
141,"화가 났을 때 겉으로 표출하는 편인가요, 삭히는 편인가요?"
142,사람을 사귈 때 좁고 깊게 vs 넓고 얕게? (선호도 서술)
143,"완벽주의 성향이 있나요, 아니면 유연한 편인가요?"
144,내가 가장 듣기 싫어하는 잔소리는?
145,건강 관리를 위해 챙겨 먹는 것이나 루틴이 있나요?
146,학창 시절 가장 좋아했던 과목은?
147,반대로 가장 싫어했거나 포기했던 과목은?
148,어릴 때 부모님께 가장 많이 혼났던 이유는?
149,살면서 가장 민망했거나 이불킥하고 싶은 흑역사는?
150,지금까지 땄던 상장이나 자격증 중 가장 자랑스러운 것은?
151,내 인생의 첫 휴대폰은 무엇이었나요?
152,가장 오래 친하게 지내고 있는 친구는 누구인가요?
153,어릴 때 가지고 놀았던 것 중 가장 기억나는 놀이는?
154,수능(또는 중요한 시험) 끝난 날 무엇을 했나요?
155,지금의 직업(또는 전공)을 선택하게 된 계기는?
156,내일 지구가 멸망한다면 마지막 식사는 무엇으로?
157,초능력 하나를 가질 수 있다면 무엇을 가지고 싶나요? (구체적으로)
158,나를 주인공으로 영화를 만든다면 장르는 무엇일까요?
159,복권에 당첨된다면 누구에게 가장 먼저 알릴 건가요?
160,무인도에 떨어진다면 내가 가장 잘할 수 있는 생존 기술은?
161,동물과 대화할 수 있다면 우리 집 반려동물에게 묻고 싶은 말은?
162,과거의 역사 속 인물을 만날 수 있다면 누구를 만나고 싶나요?
163,내 이름을 개명한다면 어떤 이름으로 바꾸고 싶나요?
164,"일주일 동안 휴대폰 없이 살기, 가능할까요? (무엇을 할지)"
165,"내가 갑자기 100억 부자가 된다면, 지금 하는 일을 계속할까요?"
166,우리가 함께 살 신혼집 인테리어의 로망은?
167,"나중에 아이를 낳는다면 아들이 좋은가요, 딸이 좋은가요? (이유)"
168,은퇴 후에 귀농/귀촌할 생각이 있나요?
169,결혼 10주년 리마인드 웨딩에 대해 어떻게 생각하나요?
170,내 묘비명에 적고 싶은 한 문장은?
171,노후에 함께 배우고 싶은 댄스나 스포츠가 있다면?
172,미래의 내 자녀에게 절대 물려주고 싶지 않은 나의 단점은?
173,가장 가보고 싶은 꿈의 여행지(버킷리스트 여행)는?
174,5년 뒤 내 통장에 얼마가 있으면 만족할 것 같나요?
175,"우리가 할머니, 할아버지가 되었을 때 서로를 어떻게 부를까요?"
176,요즘 나를 가장 불안하게 만드는 요소가 있다면?
177,남들은 잘 모르는 나만의 컴플렉스가 있나요?
178,내가 생각하는 '행복'의 정의를 한 문장으로 말한다면?
179,살면서 가장 용기 냈던 순간은 언제인가요?
180,내가 가장 위로받고 싶을 때 듣고 싶은 말은?
181,부모님의 모습 중 내가 닮고 싶은 부분은?
182,반대로 부모님과 다르길 바라는 나의 모습은?
183,나에게 '친구'란 어떤 의미인가요?
184,가장 감명 깊게 읽은 책 구절이나 영화 대사는?
185,내가 죽었을 때 사람들이 나를 어떻게 기억해주길 바나요?
186,오늘 아침에 눈 뜨자마자 든 생각은?
187,지금 냉장고를 열면 가장 먼저 보이는 것은?
188,최근에 찍은 사진 중 가장 마음에 드는 컷은?
189,비가 오는 날 듣기 좋은 플레이리스트 추천 곡은?
190,자기 전에 마지막으로 하는 스마트폰 앱은?
191,오늘 하루 나에게 점수를 준다면 100점 만점에 몇 점?
192,요즘 가장 사고 싶어서 장바구니에 담아둔 물건은?
193,가장 최근에 검색창에 검색한 단어는?
194,일주일 중 가장 기다려지는 요일과 시간대는?
195,어릴 때 가장 무서워했던 대상이나 기억은 무엇인가요?
196,고속도로 휴게소에 들르면 꼭 사 먹는 필수 간식은?
197,"겨울철 길거리 간식 중 최애는? (붕어빵, 호떡 등)"
198,어릴 때 불렸던 별명이 있나요?
199,가장 좋아하는 야식 메뉴는 무엇인가요?
200,선의의 거짓말은 어디까지 허용될까요?
